Colony Prefix,Colony Name,Strain,Cohort Name,Pipeline,DCF Version,Gene Name,Mouse Name,Mouse,Genotype,Sex,Birth Date,Assay Date,Age In Weeks,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,-,,-,,-,,-,,-,,-,,-,,-,Mouse Status,X Ray Equipment Name,X Ray Equipment Manufacturer,X Ray Equipment Model,Level Used,Core Strain,Full Strain
MDZN,Ubash3a Knockout 1 EPD0736_4_B10,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121217,MGP Select,V2,Ubash3a,MDZN31.2i,M01356510,+/+,Female,2012-12-17,2013-03-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MCZY,Dlg3 Knockout 1 EPD0525_1_C08,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Dlg3,MCZY58.3b,M01312394,+/+,Female,2012-11-01,2013-02-07,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEQK,Pop4 tm1a(EUCOMM)Wtsi EPD0752_1_A01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Pop4,MEQK20.1e,M01307332,+/+,Female,2012-11-01,2013-02-07,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEQK,Pop4 tm1a(EUCOMM)Wtsi EPD0752_1_A01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Pop4,MEQK20.1f,M01307333,+/+,Female,2012-11-01,2013-02-07,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEQK,Pop4 tm1a(EUCOMM)Wtsi EPD0752_1_A01,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121102,MGP Select,V2,Pop4,MEQK20.1g,M01307334,+/+,Female,2012-11-01,2013-02-07,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MCSZ,Dynll1 Knockout EPD0397_1_B02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dynll1,MCSZ59.2d,M01317624,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(12.5%);C57BL/6NTac(87.5%)
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3d,M01318899,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE28.2f,M01312404,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3g,M01318902,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dctn1,MDWE26.3f,M01318901,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MCSZ,Dynll1 Knockout EPD0397_1_B02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dynll1,MCSZ59.2h,M01317628,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(12.5%);C57BL/6NTac(87.5%)
MCSZ,Dynll1 Knockout EPD0397_1_B02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121105,MGP Select,V2,Dynll1,MCSZ59.2g,M01317627,+/+,Female,2012-11-05,2013-02-11,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(12.5%);C57BL/6NTac(87.5%)
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY37.1d,M01327003,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY37.1g,M01327006,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY37.1f,M01327005,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY39.1c,M01327009,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY39.1d,M01327010,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY40.1c,M01327013,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDLY,Arpc3 Knockout 1 EPD0666_2_A06,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121115,MGP Select,V2,Arpc3,MDLY40.1d,M01327014,+/+,Female,2012-11-15,2013-02-21,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT16.1f,M01339850,+/+,Female,2012-11-27,2013-03-05,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT16.1h,M01339852,+/+,Female,2012-11-27,2013-03-05,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT18.1c,M01339874,+/+,Female,2012-11-27,2013-03-05,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MFGT,Fgd4 tm1a(EUCOMM)Wtsi EPD0698_6_A04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121127,MGP Select,V2,Fgd4,MFGT18.1d,M01339875,+/+,Female,2012-11-27,2013-03-05,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDTX,Dmxl2 Knockout 1 EPD0431_3_A05,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121027,MGP Select,V2,Dmxl2,MDTX42.2e,M01306752,+/+,Female,2012-10-25,2013-01-31,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDTX,Dmxl2 Knockout 1 EPD0431_3_A05,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121027,MGP Select,V2,Dmxl2,MDTX42.2i,M01306756,+/+,Female,2012-10-25,2013-01-31,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDTX,Dmxl2 Knockout 1 EPD0431_3_A05,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121027,MGP Select,V2,Dmxl2,MDTX42.2h,M01306755,+/+,Female,2012-10-25,2013-01-31,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MELE,Rundc1 tm1a(EUCOMM)Wtsi EPD0023_4_A02,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121227,MGP Select,V2,Rundc1,MELE34.1g,M01364215,+/+,Female,2012-12-27,2013-04-04,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121227,MGP Select,V2,Dctn1,MDWE39.1g,M01363698,+/+,Female,2012-12-27,2013-04-04,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDWE,Dctn1 Knockout 1 EPD0359_3_B11 #3,C57BL/6N;C57BL/6NTac,B6N MGP Select 20121227,MGP Select,V2,Dctn1,MDWE39.1d,M01363695,+/+,Female,2012-12-27,2013-04-04,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MCTQ,Cbx6 Knockout 1 EPD0445_7_A03,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130117,MGP Select,V2,Cbx6,MCTQ107.1e,M01381178,+/+,Female,2013-01-17,2013-04-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(47.65625%);C57BL/6NTac(52.34375%)
MCTQ,Cbx6 Knockout 1 EPD0445_7_A03,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130117,MGP Select,V2,Cbx6,MCTQ107.1f,M01381179,+/+,Female,2013-01-17,2013-04-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(47.65625%);C57BL/6NTac(52.34375%)
MEFL,Ints2 tm1a(KOMP)Wtsi EPD0205_3_C04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130117,MGP Select,V2,Ints2,MEFL16.2j,M01387882,+/+,Female,2013-01-17,2013-04-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MCTQ,Cbx6 Knockout 1 EPD0445_7_A03,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130117,MGP Select,V2,Cbx6,MCTQ103.1e,M01381173,+/+,Female,2013-01-17,2013-04-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N(47.65625%);C57BL/6NTac(52.34375%)
MEFL,Ints2 tm1a(KOMP)Wtsi EPD0205_3_C04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130117,MGP Select,V2,Ints2,MEFL16.2g,M01387879,+/+,Female,2013-01-17,2013-04-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MEFL,Ints2 tm1a(KOMP)Wtsi EPD0205_3_C04,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130117,MGP Select,V2,Ints2,MEFL16.2i,M01387881,+/+,Female,2013-01-17,2013-04-25,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDVB,Aspm Knockout 1 EPD0320_1_A06 #2,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130121,MGP Select,V2,Aspm,MDVB46.3f,M01391111,+/+,Female,2013-01-21,2013-04-29,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDVB,Aspm Knockout 1 EPD0320_1_A06 #2,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130121,MGP Select,V2,Aspm,MDVB46.3e,M01391110,+/+,Female,2013-01-21,2013-04-29,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
MDVB,Aspm Knockout 1 EPD0320_1_A06 #2,C57BL/6N;C57BL/6NTac,B6N MGP Select 20130121,MGP Select,V2,Aspm,MDVB46.3h,M01391113,+/+,Female,2013-01-21,2013-04-29,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-,,-,,-,,-,,-,,-,,-,,-,Anaesthetised,Specimen Radiography System,Faxitron X-Ray Corporation,MX 20,Normal,B6N,C57BL/6N;C57BL/6NTac
