"","parameter_stable_id","categories"
"118","IMPC_CBC_039_001","Sarstedt Li-Heparin gel tubes,Kabe Labortechnik Lithium heparin coated tubes,Kabe Labortechnik 1000ul Lithium Heparin,BD Microtainer Lithium Heparin/PST Gel Blood Tube,TERUMO CAPIJECT Lithium heparin coated tubes,Eppendorf 1.7ml,BD Microtainer Lithium Heparin Tube"
"119","IMPC_CBC_048_001","Slight,Moderate,Marked,None"
"120","IMPC_CBC_036_001","Gas anaesthesia with Isofluorane,Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Injection narcosis with Ketamine (100mg/kg)/ Xylazine (10mg/kg )/Antipamezole (Antisedan\, 1mg/kg),Injection narcosis with Ketamine (110mg/kg)/Xylazine (11mg/kg),Injection narcosis with Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antipamezole (Antisedan\, 1mg/kg),Injection narcosis with Ketamine (137mg/kg)/Xylazine (6.6mg/kg),Injection narcosis with Tribromoethanol (Avertin),Injection narcosis with Sodium Pentobarbital (Pentobarb\, 0.1ml),Injection narcosis with Sodium Pentobarbital (Euthatal),No,Injection narcosis with Sodium Pentobarbital (Somnopentyl)"
"121","IMPC_CBC_041_001",",18-22,,-80"
"123","IMPC_CBC_045_001","ESLIM_024_001,sop.inv.019,RIKENMPP_004a_003,PHENO_CBC,sop.inv.063"
"128","IMPC_CBC_034_001","Cobas,Olympus Diagnostics,Beckman Coulter,Hitachi,JEOL (Siemens),Roche"
"133","IMPC_CBC_055_001","Yes,No"
"135","IMPC_INS_017_001",",,"
"136","IMPC_INS_006_001","Thermo scientific,Meso Scale Discovery,Tecan"
"137","IMPC_INS_009_001","Isofluorane,None,Injection narcosis with Ketamine (100mg/kg)/Xylazine (10mg/kg),Injection narcosis with Tribromoethanol (Avertin),Injection narcosis with Ketamine (137mg/kg)/Xylazine (6.6mg/kg)"
"138","IMPC_INS_010_001","Retro-orbital puncture,Cardiac puncture"
"140","IMPC_INS_014_001","Fresh,Frozen"
"141","IMPC_INS_007_001","Multiskan JX,SECTOR Imager 2400,SECTOR Imager 6000,Genios Pro,MESO QuickPlex SQ 120"
"142","IMPC_INS_003_001","MORINAGA (Yokohama\, Japan),Meso Scale Discovery,Mercodia,MSD HMGU Custom"
"143","IMPC_INS_018_001","ESLIM_024_001,PHENO_CBC,sop.inv.019"
"144","IMPC_INS_016_001","Neat plasma,1:2,Neat serum"
"146","IMPC_INS_011_001","Li-Heparin,No"
"149","IMPC_INS_008_001","Sarstedt Li-Heparin gel tubes,Kabe Labortechnik Lithium heparin coated tubes,BD Microtainer silicone and micronized silica coated serum separator tubes"
"151","IMPC_HWT_011_001","Adventurer Pro,AV2101,TP-114,PG3001-S,HR-120,TE212,P-403,AV212C,GF-200,AV213C,Scout Pro SPU123,QUINTIX124-1S,MS104S,AB104-S,Adventurer AX223/E"
"153","IMPC_HWT_005_001","Cervical dislocation,Isoflurane overdose,None,Exsanguination,Carbon dioxide,Avertin,Ketamine (100mg/kg)/Xylazine (10mg/kg),Ketamine(100mg/kg)/ Xylazine (10mg/kg )/ Antisedan (1mg/kg),Ketamine (110mg/kg)/Xylazine (11mg/kg),Ketamine (110mg/kg)/Xylazine (11mg/kg)/ Antisedan (1mg/kg),Ketamine (137mg/kg)/Xylazine (6.6mg/kg),Pentobarb (0.1ml),Anesthetized,Cardiac puncture"
"155","IMPC_CBC_059_001","Beckman Coulter,Microgenics,Wako and Sekisui"
"156","IMPC_HWT_010_001","Ohaus,Denver Instrument,Mettler Toledo,A & D,Sartorius AG Germany"
"157","IMPC_PAT_060_001","Ohaus,Leica,Keyence Co.\, Ltd,Olympus"
"158","IMPC_PAT_061_002","AV2101,ASP200S,VHX-100,AV213C,SC100,Z6 ApoE,M651,1 x AW 110,1 x 4500,SZ61,C-5060,MS104S,AV313,M165C,Coolpix P520"
"159","IMPC_PAT_060_002","Ohaus,Leica,Keyence Co.\, Ltd,Olympus,Nikon,Mettler Toledo"
"160","IMPC_PAT_055_001","Cardiac puncture,1ml EDTA tubes\, Braun-Melsungen\, GER,Retro-orbital puncture"
"161","IMPC_PAT_058_002","10% buffered formalin phosphate,4% NBF-24hrs,Neutral buffered formalin,4% PFA/PBS,10% neutral buffer formalin\, RT\, O/N,Formol,Bouin,10% buffered formalin"
"162","IMPC_BLK_037_001","Blocked banked,Not Block banked"
"163","IMPC_BLK_045_001","Block banked,Not Block banked"
"164","IMPC_BLK_053_001","Block banked,Not Block banked"
"165","IMPC_PAT_058_001","10% buffered formalin phosphate,4% NBF-24hrs,Neutral buffered formalin,4% PFA/PBS,10% neutral buffer formalin\, RT\, O/N,Formol,Bouin"
"166","IMPC_BLK_029_001","Blocked banked,Not Block banked"
"167","IMPC_BLK_036_001","Blocked banked,Not Block banked"
"168","IMPC_BLK_024_001","Blocked banked,Not Block banked"
"169","IMPC_BLK_010_001","Blocked banked,Not Block banked"
"170","IMPC_BLK_044_001","Block banked,Not Block banked"
"171","IMPC_BLK_032_001","Blocked banked,Not Block banked"
"172","IMPC_BLK_038_001","Blocked banked,Not Block banked"
"173","IMPC_CSD_006_001","As expected,Not as expected,No data"
"174","IMPC_CSD_019_001","As expected,One forelimb only - increased,One forelimb only - decreased,Both forelimbs - increased,Both forelimbs - decreased"
"175","IMPC_CSD_021_001","As expected,One hindlimb only - not as expected,Both hindlimbs - not as expected"
"176","IMPC_CSD_049_002","As expected,One hindlimb - not as expected,Both hindlimbs - not as expected"
"177","IMPC_CSD_004_001","As expected,Not as expected,No data"
"178","IMPC_CSD_010_001","As expected,Not as expected,No data"
"179","IMPC_CSD_017_001","As expected,One forelimb only - not as expected,Both forelimbs - not as expected"
"180","IMPC_CSD_066_001","As expected,Not as expected"
"181","IMPC_CSD_048_002","As expected,One forelimb - not as expected,Both forelimbs - not as expected"
"182","IMPC_CSD_078_001","As expected,Not as expected"
"183","IMPC_CSD_076_001","As expected,Not as expected"
"184","IMPC_CSD_016_001","As expected,Not as expected,No data"
"185","IMPC_CSD_068_001","As expected,Not as expected"
"186","IMPC_CSD_075_001","As expected,Not as expected"
"187","IMPC_CSD_008_001","As expected,Not as expected,No data"
"188","IMPC_CSD_077_001","Present,Absent,No data"
"189","IMPC_CSD_058_001","As expected,Not as expected"
"190","IMPC_CSD_015_001","As expected,Not as expected,No data"
"191","IMPC_CSD_024_001","As expected,Not as expected,No data"
"192","IMPC_CSD_007_001","As expected,Not as expected,No data"
"193","IMPC_CSD_033_001","Fluid movement,Lack of fluidity in movement"
"194","IMPC_CSD_027_001","As expected,Not as expected"
"195","IMPC_CSD_057_001","As expected,Not as expected"
"196","IMPC_CSD_014_001","As expected,Not as expected,No data"
"197","IMPC_CSD_044_002","As expected,One forelimb - increased number,One forelimb - decreased number,Both forelimbs - increased number,Both forelimbs - decreased number"
"198","IMPC_CSD_001_001","Present,Absent"
"199","IMPC_CSD_043_002","As expected,One hindpaw - not as expected,Both hindpaws - not as expected"
"200","IMPC_CSD_030_001","Absent,Present"
"201","IMPC_CSD_073_001","As expected,Not as expected,No data"
"202","IMPC_CSD_060_001","As expected,Not as expected"
"203","IMPC_CSD_039_001","Absent,Present,No data"
"204","IMPC_CSD_026_001","As expected,Not as expected"
"205","IMPC_CSD_056_001","As expected,Not as expected"
"206","IMPC_CSD_069_001","As expected,Not as expected,No data"
"207","IMPC_CSD_031_001","As expected,Immediate movement,Extended freeze"
"208","IMPC_CSD_013_001","As expected,Not as expected"
"209","IMPC_CSD_061_001","As expected,Not as expected,No data"
"210","IMPC_CSD_009_001","As expected,Not as expected,No data"
"211","IMPC_CSD_074_001","As expected,Not as expected"
"212","IMPC_CSD_003_001","As expected,Increased,Decreased,No data"
"213","IMPC_CSD_046_001","As expected,One forelimb - increased size,One forelimb - decreased size,One forelimb - fused,Both forelimbs - increased size,Both forelimbs - decreased size,Both forelimbs - fused"
"214","IMPC_CSD_071_001","As expected,Absent"
"215","IMPC_CSD_011_001","As expected,Not as expected"
"216","IMPC_CSD_054_002","As expected,One forelimb - not as expected,Both forelimbs - not as expected,No data"
"217","IMPC_CSD_029_001","As expected,Increased activity,Inactive"
"218","IMPC_CSD_055_002","As expected,One hindlimb - not as expected,Both hindlimbs - not as expected,No data"
"221","IMPC_CSD_025_001","As expected,Increased,Decreased"
"224","IMPC_CSD_034_001","As expected,Straub / elevated tail,Dragging,No data"
"226","IMPC_CSD_051_002","As expected,One hindlimb - increased number,One hindlimb - decreased number,Both hindlimbs - increased number,Both hindlimbs - decreased number,No data"
"228","IMPC_CSD_042_002","As expected,One forepaw - not as expected,Both forepaws - not as expected"
"230","IMPC_CSD_067_001","As expected,Not as expected,No data"
"233","IMPC_GEP_060_002","yes,unobservable,no"
"234","IMPC_GEP_043_001","normal,abnormal,unobservable"
"235","IMPC_GEP_018_002","yes,unobservable,no"
"236","IMPC_GEP_051_001","normal,abnormal,unobservable"
"237","IMPC_GEP_027_001","normal,abnormal,unobservable"
"238","IMPC_GEP_034_001","normal,abnormal,unobservable"
"239","IMPC_GEP_036_001","normal,abnormal,unobservable"
"240","IMPC_GEP_001_001","yes,no"
"241","IMPC_GEP_053_001","normal,abnormal,unobservable"
"244","IMPC_OFD_029_001","Black,Transparent,White,Grey"
"248","IMPC_GRS_006_001","Chatillon,Bioseb,Columbus Instruments"
"251","IMPC_GRS_013_001","Ametek,Bio-GT3+MR,Bio-GS3,Bio-GS2,E-DFD-E-002,DFIS 2,DFE II,DFE,Ametek_old,BIO-GT3"
"252","IMPC_GRS_007_001","HMGU plate,Not HMGU plate,45 Degree cross wired"
"253","IMPC_LDT_025_001","Alcohol,Pursept-A,50% alcohol,1% Virkon solution,10% Nolvasan Solution,70% ethanol,Clidox,70% Isopropanol,Distel 2%,50% Ethanol"
"254","IMPC_ACS_032_001","38.1 x 35.6 x 45.7,33 x 43 x 33,28.5 x 28.5 x 30,50.8 x 33 x 30.5cm,32.2 x 34.5 x 46.3,63.5 x 40 x 42"
"255","IMPC_ACS_015_001",","
"256","IMPC_ACS_028_001","Acoustic startle chambers MED-ASR-PRO1,SR-LAB Startle Response System,SR-4020,Med Associates Acoustic Startle Model - Startle Cubicle (ENV 022S),Med Associates Acoustic Startle Model - Startle Cubicle (ENV 022S) (reconfigured)"
"257","IMPC_ACS_020_001",",,,"
"258","IMPC_ACS_030_001","3 x 3.5,4 x 9,12 x 3.8,7.5 x 3.0,3.8 x 7,6 x 6 x 4.8"
"259","IMPC_ACS_018_001",",,,,,,,"
"260","IMPC_ACS_013_001",",,,"
"261","IMPC_ACS_027_001","Med Associates Inc.\, VT\, USA,San Diego Instruments,O'hara Co. Ltd."
"262","IMPC_ACS_021_001","random 20-30,random 10-20,,"
"263","IMPC_ACS_019_001",",,,,,,"
"264","IMPC_ACS_017_001",",,,,"
"273","IMPC_ACS_023_001",","
"274","IMPC_ACS_039_001","PHM 255A,SR-LAB Startle Response System,SR1040,SR-LAB CONTROL SRC000444,SR-LAB CONTROL SRC000495"
"275","IMPC_ACS_022_001",",,,,,,,"
"276","IMPC_ACS_031_001","Med Associates Inc.\, VT\, USA,San Diego Instruments,O'hara Co. Ltd."
"277","IMPC_FEA_030_001","30.5 L X 24.1 W X 24.5 H cm,16.6 L X 17 W X 25 H cm,25 L x 21 W x 19 H cm,25 x 25 x 19 cm,17 x 17 x 25 cm,30.5 cm L X 24.1 cm W X 21 cm H"
"278","IMPC_FEA_055_001","Black and white,Red,Clear,Beige\, black and white"
"279","IMPC_FEA_042_001",","
"280","IMPC_FEA_071_001","71 cm L X 63.5 cm W X 35.5 cm H,71 cm L X 59.7 cm W X 31.7 cm H,other,47 cm L X 35 cm W X 49 cm H"
"281","IMPC_FEA_049_001",","
"282","IMPC_FEA_036_001",","
"283","IMPC_FEA_067_001","Video tracking,Beam break"
"284","IMPC_FEA_061_001",",,"
"285","IMPC_FEA_029_001","Rectangle,Square"
"286","IMPC_FEA_044_001","Alcohol,None"
"287","IMPC_FEA_052_001","5% acetic acid,Vanillin,Cinnamon"
"288","IMPC_FEA_035_001",",2.8,,"
"289","IMPC_FEA_038_001","0.5,,"
"290","IMPC_FEA_078_001","On"
"291","IMPC_FEA_046_001","30.5 cm L X 24.1 cm W X 24.5 cm H,16.6 cm L X 17 cm W X 25 cm H,25 L x 21 W x 19 H cm,25 x 25 x 19 cm,17 x 17 x 25 cm,30.5 cm L X 24.1 cm W X 21 cm H"
"292","IMPC_FEA_027_001",",,,"
"293","IMPC_FEA_033_001",",,"
"294","IMPC_FEA_050_001","Context + 2-4h,Context + 4h,Context + 24h"
"295","IMPC_FEA_063_001","Arena 1,Arena 2,Arena 3,Arena 4,Arena 5,Arena 6,Arena 7,Arena 8"
"296","IMPC_FEA_054_001","30.5 cm L X 24.1 cm W X 24.5cm H,20 cm dia X 30 cm H,25 L x 21 W x 19 H cm,25 x 25 x 19 cm,17 x 17 x 25 cm,30.5 cm L X 24.1 cm W X 21 cm H"
"297","IMPC_FEA_045_001","Rectangle,Square"
"298","IMPC_FEA_053_001","A frame ceiling,Cylinder,Rectangle"
"299","IMPC_FEA_037_001","0.4,0.5,0.75"
"300","IMPC_FEA_062_001",","
"301","IMPC_FEA_079_001","On"
"302","IMPC_FEA_060_001",",,"
"303","IMPC_FEA_047_001","Metallic\, White and Clear,Clear,White,Metallic\, clear"
"304","IMPC_FEA_043_001",",,,"
"305","IMPC_FEA_039_001",","
"306","IMPC_FEA_064_001","Machine A,Machine B,Machine 1,Machine 2"
"307","IMPC_FEA_069_001","Med Associates,Ugo Basile,San Diego Instruments"
"308","IMPC_FEA_026_001",","
"309","IMPC_FEA_034_001",",,,,"
"310","IMPC_FEA_051_001",",,14-18"
"311","IMPC_FEA_077_001",",,0.25"
"312","IMPC_CAL_015_001","Columbus Instruments,Sable Systems,TSE Systems GmbH,O'hara Co. Ltd."
"313","IMPC_CAL_016_001","Oxymax FAST,Oxymax/CLAMS,SAMPLEMAX,SM-MARS 8 channel Metabolic system,PhenoMaster/LabMaster CaloSys\, (Dri)+Fed\, Act.X\,Y 16mice,PhenoMaster/Labmaster CaloSys\, (Dri)+Fed\, Act.X\,Y 12Mice,PhenoMaster/Labmaster CaloSys\, (Dri)+Fed\, Act.X\,Y 20Mice,PhenoMaster/Labmaster CaloSys\, (Dri)+Fed\, Act.X\,Y 32Mice,FWI-3002 & IA-16M,PhenoMaster/Labmaster CaloSys\, (Dri)+Fed\, Act.X\,Y 12Mice - Gas system 994620 series"
"314","IMPC_CAL_013_001",",,,"
"315","IMPC_CAL_040_001","Reference range method,Gas bottle method"
"316","IMPC_CAL_039_001","Yes,No"
"317","IMPC_CAL_034_001","Left/right,Front/back,Both"
"318","IMPC_CAL_012_001","Yes,No"
"319","IMPC_CAL_038_001","Yes,No"
"320","IMPC_ECG_018_001","ECGenie,ML870/p,ML826/FE132,Iso-DAM8A,ECGenie + gel pads,ML866"
"321","IMPC_ECG_017_001","Mouse Specifics\, Inc.,AD Instruments,World Precision Instruments"
"322","IMPC_ECG_019_001","Isoflurane,Avertin,Tribromoethanol,No anesthesia"
"323","IMPC_IPG_006_001","yes,No"
"324","IMPC_IPG_004_001","Abbott,Roche Diagnostic,Lifescan,ARKRAY factory.Inc,Analox,Roche Diabetes Care"
"325","IMPC_IPG_007_001","Whole blood,Plasma,Plasma\, no maltose interference"
"326","IMPC_IPG_005_001","32004-02,Accu-Chek Aviva,Accu-Chek Performa,One Touch Ultra 2,Super Glucocard II GT-1640,GLUCOCARD G+meter GT-1820,Alphatrak 2,GM9,Accu-Chek Aviva Connect,Accu-Chek Guide"
"327","IMPC_ABR_028_001","Click,6\,12\,18\,24\,30 kHz,Tone\,6\,12\,18\,24\,30 kHz,Click\,6\,12\,18\,24\,30 kHz"
"328","IMPC_ABR_035_001",","
"329","IMPC_ABR_045_001","0.016,0.011,0.01,0.1,,0.02,"
"330","IMPC_ABR_050_001","TDT (Tucker Davis Technologies),Intelligent Hearing Systems"
"331","IMPC_ABR_033_001","0-85,20-85,10-90,0-95,0-90"
"332","IMPC_ABR_016_001","Yes,No"
"333","IMPC_ABR_051_001","RP2.1 based system\, RA4PA Medusa Preamplifier,III,Smart EP,RZ6-A-P1 bioacoustic system\, RA4PA pre-amp / Digitizer\, RA4LI headstage\, MF1-S multi field speaker,RZ6\, Z-series 2-DSP bioacoustic system\, Medusa PreAmp/Digitizer\, Medusa LI headstage\, Multi field speaker/Stereo"
"348","IMPC_XRY_067_001","normal,abnormal,imageOnly,unobservable"
"349","IMPC_XRY_023_001","normal,abnormal,imageOnly,unobservable"
"350","IMPC_XRY_066_001","normal,abnormal,imageOnly,unobservable"
